"Daily exchange rates by time, type and currency"

" ","Exchange rates (DKK per 100 units of foreign currency)"," "," "," "
" ","Euro  (Jan. 1999-)","US Dollars  (Jan. 1977-)","UK Pounds Sterling  (Jan. 1981-)","Japanese Yen  (Jan. 1981-)"
"2021M02D16",743.6700,612.4300,851.5300,5.8027
"2021M02D17",743.6800,616.6500,855.2000,5.8127
"2021M02D18",743.6200,615.3800,859.2800,5.8236
"2021M02D19",743.6800,612.6400,859.6700,5.8186
"2021M02D22",743.6500,612.9200,859.4100,5.8098
"2021M02D23",743.6600,612.4200,861.6400,5.8108
"2021M02D24",743.6400,612.2500,864.4000,5.7785
"2021M02D25",743.6300,608.2900,860.6000,5.7321
"2021M02D26",743.6100,613.4900,854.2000,5.7720
"2021M03D01",743.6000,616.9400,859.0800,5.7809
"2021M03D02",743.6100,618.2300,860.3300,5.7832
"2021M03D03",743.6200,617.2100,861.1600,5.7730
"2021M03D04",743.6100,617.9200,861.9600,5.7542
"2021M03D05",743.6300,622.9100,861.6800,5.7512
"2021M03D08",743.6200,626.6800,867.4200,5.7690
"2021M03D09",743.6600,625.2400,867.7100,5.7425
"2021M03D10",743.6600,625.3400,868.2000,5.7594
"2021M03D11",743.6600,621.3200,868.0500,5.7284
"2021M03D12",743.6600,623.2000,866.3800,5.7143
"2021M03D15",743.6200,623.8400,868.0100,5.7127
"2021M03D16",743.6000,623.5100,865.2000,5.7253
"2021M03D17",743.6000,624.5100,868.0000,5.7191
"2021M03D18",743.6000,624.2400,868.9500,5.7165
"2021M03D19",743.6400,625.3800,867.0900,5.7406
"2021M03D22",743.6000,623.5100,862.3100,5.7301
"2021M03D23",743.6000,625.7700,862.6700,5.7648
"2021M03D24",743.6000,628.8400,862.1400,5.7823
"2021M03D25",743.6000,630.0600,863.9700,5.7755
"2021M03D26",743.6100,631.1400,869.6900,5.7493
"2021M03D29",743.6000,631.0300,873.5900,5.7559
"2021M03D30",743.6900,633.4100,871.0600,5.7437
"2021M03D31",743.7300,634.3100,872.8300,5.7250
"2021M04D06",743.7900,629.6900,871.3800,5.7096
"2021M04D07",743.6500,625.7600,864.0600,5.6958
"2021M04D08",743.7700,626.4400,861.9400,5.7341
"2021M04D09",743.7200,625.6100,858.2200,5.7025
"2021M04D12",743.6900,624.7400,859.5800,5.7119
"2021M04D13",743.7400,625.2000,857.8500,5.7110
"2021M04D14",743.7200,621.6300,855.6600,5.7064
"2021M04D15",743.7200,621.3200,857.2800,5.7148
"2021M04D16",743.6800,620.4600,856.8400,5.7044
"2021M04D19",743.6400,617.9000,861.1400,5.7164
"2021M04D20",743.6500,617.0900,861.7500,5.6924
"2021M04D21",743.6400,619.3400,862.1900,5.7291
"2021M04D22",743.6600,617.3500,856.2100,5.7073
"2021M04D23",743.6100,616.2900,855.6600,5.7210
"2021M04D26",743.6200,615.3200,854.9800,5.6965
"2021M04D27",743.6000,615.1600,855.7500,5.6815
"2021M04D28",743.6000,616.0700,854.8300,5.6560
"2021M04D29",743.6000,613.0800,855.6000,5.6248
"2021M05D03",743.6500,617.4400,856.3600,5.6380
"2021M05D04",743.6100,618.5900,856.9900,5.6652
"2021M05D05",743.6000,619.4100,861.9100,5.6677
"2021M05D06",743.6000,616.5800,857.5900,5.6466
"2021M05D07",743.6100,616.6400,856.5900,5.6437
"2021M05D10",743.6100,611.0700,862.7100,5.6202
"2021M05D11",743.6000,611.0100,864.5200,5.6282
"2021M05D12",743.6000,613.6300,866.6900,5.6410
"2021M05D17",743.6300,612.3900,862.5300,5.6081
"2021M05D18",743.6300,608.4400,864.7100,5.5874
"2021M05D19",743.6000,608.9100,862.3100,5.5784
"2021M05D20",743.6400,609.3900,860.6900,5.5934
"2021M05D21",743.6200,610.1200,865.9800,5.6076
"2021M05D25",743.6000,606.3300,858.9300,5.5705
"2021M05D26",743.6000,608.0600,861.3500,5.5843
"2021M05D27",743.6300,609.6300,864.0000,5.5736
"2021M05D28",743.6600,612.4700,867.0900,5.5642
"2021M05D31",743.6500,609.5000,864.5800,5.5583
"2021M06D01",743.6600,608.3100,861.8600,5.5476
"2021M06D02",743.6500,610.2500,863.4500,5.5612
"2021M06D03",743.6500,610.2000,865.1600,5.5575
"2021M06D04",743.6800,613.7500,867.8700,5.5752
"2021M06D07",743.6900,611.4900,866.5200,5.5925
"2021M06D08",743.6400,610.4400,863.6900,5.5795
"2021M06D09",743.6600,609.8100,864.1900,5.5755
"2021M06D10",743.6400,610.8400,861.7600,5.5766
"2021M06D11",743.6100,613.2900,867.5900,5.5961
"2021M06D14",743.6100,613.9400,865.6900,5.5932
"2021M06D15",743.6200,614.1600,863.1700,5.5794
"2021M06D16",743.6600,613.3800,866.4300,5.5835
"2021M06D17",743.6900,623.0100,869.5600,5.6302
"2021M06D18",743.6400,625.0100,866.8600,5.6714
"2021M06D21",743.6400,625.3800,868.0300,5.6805
"2021M06D22",743.6000,625.1900,869.1000,5.6548
"2021M06D23",743.6200,622.2200,870.3900,5.6148
"2021M06D24",743.6200,623.0100,865.8500,5.6250
"2021M06D25",743.6300,622.2800,865.1900,5.6221
"2021M06D28",743.6900,624.4200,867.6800,5.6285
"2021M06D29",743.6300,625.5300,865.2100,5.6533
"2021M06D30",743.6200,625.7300,866.6400,5.6579
"2021M07D01",743.6000,625.7200,864.3200,5.6155
"2021M07D02",743.6000,628.9400,864.6200,5.6445
"2021M07D05",743.6000,626.6600,868.0300,5.6513
"2021M07D06",743.6100,628.1600,870.2300,5.6768
"2021M07D07",743.6100,628.5300,869.7200,5.6825
"2021M07D08",743.6600,628.2000,863.3900,5.7244
"2021M07D09",743.6700,627.1500,867.1700,5.7004
"2021M07D12",743.7500,627.5300,869.1700,5.6971
"2021M07D13",743.8000,628.0000,869.7600,5.6974
"2021M07D14",743.7600,629.6600,873.3900,5.7081
"2021M07D15",743.7500,629.8200,873.0700,5.7242
"2021M07D16",743.8100,630.2400,872.0100,5.7203
"2021M07D19",743.7700,632.1300,865.7200,5.7674
"2021M07D20",743.8100,631.6900,859.4500,5.7646
"2021M07D21",743.8500,631.8800,861.3100,5.7383
"2021M07D22",743.8200,631.6900,869.3200,5.7292
"2021M07D23",743.8200,632.1200,869.5300,5.7169
"2021M07D26",743.7200,630.9700,870.1700,5.7187
"2021M07D27",743.7100,629.7300,869.8100,5.7217
"2021M07D28",743.7300,629.9100,874.0000,5.7223
"2021M07D29",743.7600,626.4300,874.1900,5.7032
"2021M07D30",743.7900,625.5100,873.6100,5.7043
"2021M08D02",743.8100,625.7900,869.2600,5.7141
"2021M08D03",743.7600,625.8000,871.3700,5.7345
"2021M08D04",743.6700,626.9900,873.3300,5.7511
"2021M08D05",743.6600,627.5600,874.2800,5.7297
"2021M08D06",743.7100,629.8900,876.6000,5.7367
"2021M08D09",743.7000,632.3400,877.5700,5.7429
"2021M08D10",743.7300,634.4700,879.4500,5.7440
"2021M08D11",743.7300,634.6900,878.1000,5.7351
"2021M08D12",743.7100,633.5400,877.6100,5.7381
"2021M08D13",743.7000,632.1300,873.9800,5.7367
"2021M08D16",743.6700,631.7300,876.2200,5.7761
"2021M08D17",743.6500,631.9800,871.5700,5.7840
"2021M08D18",743.6800,634.3800,873.0400,5.7797
"2021M08D19",743.6900,635.8500,869.5800,5.8006
"2021M08D20",743.6800,637.2000,867.2700,5.8114
"2021M08D23",743.6900,634.6600,868.4400,5.7641
"2021M08D24",743.7000,633.4800,869.0300,5.7768
"2021M08D25",743.6600,633.6600,868.8600,5.7648
"2021M08D26",743.6600,631.9900,867.5700,5.7381
"2021M08D27",743.6300,632.2800,867.6800,5.7383
"2021M08D30",743.6100,630.1200,867.2000,5.7351
"2021M08D31",743.6000,628.3600,865.9100,5.7222
"2021M09D01",743.6100,629.2700,866.0400,5.7047
"2021M09D02",743.6000,627.7200,865.5100,5.7064
"2021M09D03",743.6100,626.3600,866.2700,5.6964
"2021M09D06",743.6000,626.7700,867.5800,5.7051
"2021M09D07",743.6200,627.0000,863.5200,5.6978
"2021M09D08",743.6000,628.7300,865.9300,5.7064
"2021M09D09",743.6200,628.1600,869.1700,5.7158
"2021M09D10",743.6200,628.0000,872.1800,5.7188
"2021M09D13",743.6200,631.2600,873.6100,5.7369
"2021M09D14",743.6100,629.4300,872.1700,5.7166
"2021M09D15",743.6100,628.9000,869.6200,5.7595
"2021M09D16",743.6000,632.1500,874.5700,5.7791
"2021M09D17",743.6000,631.2400,871.1000,5.7372
"2021M09D20",743.5900,634.9500,867.6200,5.8011
"2021M09D21",743.6000,633.5000,866.1100,5.7940
"2021M09D22",743.6100,633.9900,864.6600,5.7868
"2021M09D23",743.6200,634.7600,869.7800,5.7699
"2021M09D24",743.6200,634.5400,867.6700,5.7427
"2021M09D27",743.6000,635.6600,870.5200,5.7315
"2021M09D28",743.6000,636.7500,865.1500,5.7125
"2021M09D29",743.6000,638.0600,860.2200,5.7248
"2021M09D30",743.6000,642.2000,864.1200,5.7346
"2021M10D01",743.7200,641.1400,868.2900,5.7666
"2021M10D04",743.7400,639.1700,869.5700,5.7561
"2021M10D05",743.7900,641.0900,873.2700,5.7663
"2021M10D06",743.9800,644.5800,875.5800,5.7888
"2021M10D07",743.9900,643.4800,875.0500,5.7772
"2021M10D08",744.1300,643.2100,876.5800,5.7542
"2021M10D11",744.1200,642.9200,876.6900,5.6933
"2021M10D12",744.0800,643.9500,877.9200,5.6774
"2021M10D13",744.0700,643.5500,876.4300,5.6669
"2021M10D14",744.0600,641.3200,879.3200,5.6518
"2021M10D15",744.0200,641.2900,881.8700,5.6089
"2021M10D18",744.0000,641.1600,881.1200,5.6168
"2021M10D19",744.0600,638.4000,882.9000,5.5894
"2021M10D20",744.0400,640.1400,880.4900,5.6036
"2021M10D21",744.0600,639.3900,882.7400,5.6008
"2021M10D22",744.0500,639.7700,881.8900,5.6184
"2021M10D25",743.9900,641.2000,881.7100,5.6414
"2021M10D26",743.9200,640.3200,883.7500,5.6158
"2021M10D27",743.9400,640.3900,880.0900,5.6359
"2021M10D28",743.9100,641.6900,881.6900,5.6485
"2021M10D29",743.8900,638.8100,880.4500,5.6092
"2021M11D01",743.9600,642.5600,879.6500,5.6280
"2021M11D02",743.9900,641.2000,875.7500,5.6350
"2021M11D03",743.8100,642.4300,876.9000,5.6392
"2021M11D04",743.7700,642.9000,871.4400,5.6445
"2021M11D05",743.7600,645.6800,869.4400,5.6784
"2021M11D08",743.8300,642.4000,870.2000,5.6655
"2021M11D09",743.7700,642.4500,871.1300,5.6820
"2021M11D10",743.7600,643.5000,869.4100,5.6819
"2021M11D11",743.7200,648.9700,869.4600,5.6951
"2021M11D12",743.7000,649.6300,869.7700,5.6989
"2021M11D15",743.7500,649.9000,873.3000,5.7071
"2021M11D16",743.6700,654.1800,879.7400,5.7254
"2021M11D17",743.6500,657.1700,884.3500,5.7301
"2021M11D18",743.6200,655.4600,883.4400,5.7387
"2021M11D19",743.6600,659.8000,886.0700,5.7999
"2021M11D22",743.6800,659.4100,886.1500,5.7788
"2021M11D23",743.6400,660.4800,883.3400,5.7486
"2021M11D24",743.6700,663.6400,886.0100,5.7622
"2021M11D25",743.6200,662.5900,882.1600,5.7462
"2021M11D26",743.6500,658.6200,878.8100,5.7728
"2021M11D29",743.6700,659.5200,879.2200,5.8004
"2021M11D30",743.6800,654.4800,873.1400,5.8009
"2021M12D01",743.6200,657.2600,874.8500,5.7973
"2021M12D02",743.6200,655.8100,873.4600,5.8123
"2021M12D03",743.6200,658.6000,874.3500,5.8109
"2021M12D06",743.6200,658.8300,873.5300,5.8195
"2021M12D07",743.6300,660.6500,875.5500,5.8173
"2021M12D08",743.6200,658.1300,868.6800,5.7838
"2021M12D09",743.6200,657.4300,867.3000,5.8000
"2021M12D10",743.6200,659.6500,871.2100,5.8005
"2021M12D13",743.6200,659.3500,873.2200,5.8009
"2021M12D14",743.6200,657.5500,871.3100,5.7892
"2021M12D15",743.6200,660.2900,875.0500,5.7982
"2021M12D16",743.6200,655.9800,876.5500,5.7480
"2021M12D17",743.6400,656.3500,872.7300,5.7970
"2021M12D20",743.6300,659.6600,872.7500,5.8105
"2021M12D21",743.6200,658.3600,871.9700,5.7896
"2021M12D22",743.6200,658.0100,875.8800,5.7609
"2021M12D23",743.6200,657.4900,882.8700,5.7471
"2021M12D27",743.6200,657.3700,881.8000,5.7294
"2021M12D28",743.6200,656.2700,882.6600,5.7131
"2021M12D29",743.6500,657.9200,884.0900,5.7217
"2021M12D30",743.6500,656.1200,886.0400,5.7011
"2022M01D03",743.8200,655.0600,884.0800,5.6972
"2022M01D04",743.7800,659.4400,889.5000,5.6704
"2022M01D05",743.8400,657.1600,890.3400,5.6769
"2022M01D06",743.9300,657.4700,889.9400,5.6767
"2022M01D07",743.8000,658.3500,891.5300,5.6822
"2022M01D10",743.8100,657.1900,891.8800,5.7019
"2022M01D11",744.0400,656.3500,891.3300,5.6819
"2022M01D12",744.1400,654.4800,892.9200,5.6722
"2022M01D13",744.0900,649.1200,890.6500,5.6809
"2022M01D14",744.1400,650.0700,891.1000,5.7167
"2022M01D17",744.1700,652.6100,890.4400,5.6963
"2022M01D18",744.2500,654.7500,889.4700,5.7079
"2022M01D19",744.1900,655.9600,894.8000,5.7307
"2022M01D20",744.2400,656.4100,893.8200,5.7457
"2022M01D21",744.3100,655.9000,889.9700,5.7636
"2022M01D24",744.3100,658.4500,888.1700,5.7869
"2022M01D25",744.3700,660.6100,889.1900,5.7932
"2022M01D26",744.2000,659.9300,891.7100,5.7753
"2022M01D27",744.2800,666.9200,892.7600,5.7813
"2022M01D28",744.3200,668.2700,894.8500,5.7843
"2022M01D31",744.1900,667.0800,894.9600,5.7783
"2022M02D01",744.0700,660.8100,891.1200,5.7626
"2022M02D02",743.8300,656.9200,891.9400,5.7496
"2022M02D03",743.8800,659.1200,894.0000,5.7385
"2022M02D04",744.3200,649.2700,879.8800,5.6508
"2022M02D07",744.4300,650.3300,879.0600,5.6572
"2022M02D08",744.3700,652.5000,882.3400,5.6529
"2022M02D09",744.3700,650.9600,883.4700,5.6375
"2022M02D10",744.0400,650.4400,883.1500,5.6188
"2022M02D11",744.0000,651.6600,886.1600,5.6261
"2022M02D14",744.1100,657.5700,888.8100,5.6976
"2022M02D15",744.2200,655.9900,888.4600,5.6733
"2022M02D16",744.1000,654.3300,886.4700,5.6560
"2022M02D17",743.9800,654.3400,891.0700,5.6862
"2022M02D18",743.8200,655.1200,891.6000,5.6958
"2022M02D21",743.9700,656.1700,893.1400,5.7141
"2022M02D22",743.9200,655.9000,888.9500,5.6988
"2022M02D23",743.8800,655.7500,891.2700,5.6967
"2022M02D24",744.0500,666.5300,891.4700,5.8002
"2022M02D25",744.1800,663.5000,888.6800,5.7404
"2022M02D28",744.0400,664.3800,890.5300,5.7539
"2022M03D01",743.7700,666.3400,892.9900,5.8039
"2022M03D02",743.8700,669.7900,892.8300,5.8079
"2022M03D03",743.9900,671.7100,898.8300,5.8043
"2022M03D04",743.9400,680.7000,902.9700,5.8963
"2022M03D07",744.0600,682.9400,900.5300,5.9264
"2022M03D08",744.4100,683.4500,894.8800,5.9066
"2022M03D09",744.4000,677.1600,890.7500,5.8471
"2022M03D10",744.0100,671.2500,883.8800,5.7882
"2022M03D11",744.0200,677.0000,886.0500,5.7918
"2022M03D14",744.0500,678.8800,886.6700,5.7544
"2022M03D15",744.1000,677.0100,885.2700,5.7384
"2022M03D16",744.1200,676.8400,885.9800,5.7218
"2022M03D17",744.3900,673.6000,882.8700,5.6707
"2022M03D18",744.2300,676.0800,886.7800,5.6639
"2022M03D21",744.1100,674.1300,888.2200,5.6556
"2022M03D22",744.0200,674.9100,893.9500,5.5958
"2022M03D23",743.8100,677.1100,893.1400,5.6073
"2022M03D24",743.9700,677.6900,893.2500,5.5641
"2022M03D25",744.0400,676.2800,892.3500,5.5496
"2022M03D28",743.9300,678.4000,889.4100,5.4729
"2022M03D29",743.8800,671.0700,880.9600,5.4433
"2022M03D30",743.9100,668.6200,879.7100,5.4913
"2022M03D31",743.7900,670.0200,879.2400,5.5026
"2022M04D01",743.8800,673.0700,884.0500,5.4960
"2022M04D04",743.8500,675.9200,886.7000,5.5067
"2022M04D05",743.7800,678.0700,890.8600,5.5193
"2022M04D06",743.7800,680.9300,891.0400,5.4973
"2022M04D07",743.7800,681.3700,891.2900,5.4965
"2022M04D08",743.7200,684.7600,892.2300,5.5143
"2022M04D11",743.7500,682.3400,888.6600,5.4284
"2022M04D12",743.7900,684.8300,891.2500,5.4574
"2022M04D13",743.7700,687.0200,893.1000,5.4585
"2022M04D19",743.9100,688.6100,896.7600,5.3751
"2022M04D20",744.0500,687.0300,896.8200,5.3710
"2022M04D21",744.0300,683.4100,890.8100,5.3293
"2022M04D22",744.0200,687.8200,886.5300,5.3592
"2022M04D25",743.9100,692.2700,882.1400,5.4012
"2022M04D26",743.9300,696.9600,884.2100,5.4640
"2022M04D27",744.1000,703.1100,883.5700,5.4887
"2022M04D28",744.2100,709.7900,882.2900,5.4270
"2022M04D29",744.1500,706.0200,886.8600,5.4314
"2022M05D02",743.9100,706.8700,887.6100,5.4447
"2022M05D03",744.0300,704.8400,884.3800,5.4285
"2022M05D04",744.0900,706.5700,883.7800,5.4377
"2022M05D05",744.0500,704.0600,873.4000,5.4239
"2022M05D06",744.0000,703.8800,868.9100,5.3952
"2022M05D09",743.8500,704.4700,872.7000,5.3863
"2022M05D10",743.8600,704.8100,869.0500,5.4146
"2022M05D11",743.9300,704.9500,871.1800,5.4274
"2022M05D12",744.1300,714.9600,872.4400,5.5594
"2022M05D16",744.1800,714.0500,875.0400,5.5120
"2022M05D17",744.1400,705.9500,881.6800,5.4588
"2022M05D18",744.1900,707.2000,878.9300,5.4817
"2022M05D19",744.2300,707.1100,878.3800,5.5350
"2022M05D20",744.2400,703.6400,877.4300,5.4990
"2022M05D23",744.1300,698.1200,877.6900,5.4695
"2022M05D24",744.1100,694.1300,867.7700,5.4518
"2022M05D25",744.0500,698.2500,872.3300,5.4976
"2022M05D30",743.9100,691.1100,873.6500,5.4201
"2022M05D31",743.9400,694.4300,873.8000,5.4160
"2022M06D01",743.9300,694.4800,873.5900,5.3644
"2022M06D02",743.9100,695.7600,873.1900,5.3627
"2022M06D03",743.8800,693.2700,870.8500,5.3290
"2022M06D07",743.9500,697.7600,871.4900,5.2517
"2022M06D08",743.8600,692.6700,869.2500,5.1686
"2022M06D09",743.9100,692.4600,868.5200,5.1686
"2022M06D10",743.8900,703.2400,874.6700,5.2501
"2022M06D13",743.9700,711.5900,866.5900,5.2948
"2022M06D14",744.0300,711.8500,859.3800,5.2911
"2022M06D15",743.9200,713.1800,861.7400,5.2952
"2022M06D16",743.8600,715.2500,869.5000,5.3809
"2022M06D17",743.8400,709.3600,869.9900,5.2676
"2022M06D20",743.8700,707.3000,867.5100,5.2407
"2022M06D21",743.9300,705.1500,864.9300,5.1752
"2022M06D22",743.8700,707.0300,866.1200,5.1979
"2022M06D23",743.8800,708.9300,866.8100,5.2345
"2022M06D24",743.9800,706.9400,867.3800,5.2323
"2022M06D27",744.0800,703.8200,863.2000,5.1943
"2022M06D28",743.9400,704.4200,861.5400,5.1781
"2022M06D29",743.9200,707.3500,860.4100,5.1830
"2022M06D30",743.9200,716.2000,866.8400,5.2559
"2022M07D01",743.9100,713.5800,858.5400,5.2741
"2022M07D04",743.9100,711.5400,865.4100,5.2569
"2022M07D05",743.9600,722.9900,866.6300,5.3227
"2022M07D06",744.0300,731.0900,868.4200,5.4029
"2022M07D07",744.0500,730.8900,874.2700,5.3874
"2022M07D08",744.2400,732.3000,879.8700,5.3911
"2022M07D11",744.1400,736.9200,880.2200,5.3624
"2022M07D12",744.0800,740.9700,877.2100,5.4190
"2022M07D13",744.1600,739.2100,882.0100,5.3917
"2022M07D14",744.2500,743.8800,880.1400,5.3528
"2022M07D15",744.3000,739.9300,875.7700,5.3359
"2022M07D18",744.3500,734.7300,878.7200,5.3107
"2022M07D19",744.4900,726.6900,872.7600,5.2797
"2022M07D20",744.5200,729.9900,874.0800,5.2833
"2022M07D21",744.4600,729.9300,870.2600,5.2627
"2022M07D22",744.4300,730.5500,874.3500,5.3360
"2022M07D25",744.4900,727.3300,877.8000,5.3239
"2022M07D26",744.4900,735.3700,880.4500,5.3812
"2022M07D27",744.4600,733.3100,884.8100,5.3601
"2022M07D28",744.4200,735.4500,890.6000,5.4234
"2022M07D29",744.3800,729.9300,886.2700,5.4565
"2022M08D01",744.5700,727.6200,889.5700,5.4999
"2022M08D02",744.3200,728.0100,889.6400,5.5588
"2022M08D03",744.2700,730.1100,889.9700,5.4653
"2022M08D04",744.2500,731.0200,883.5800,5.4801
"2022M08D05",744.1500,727.2100,883.0800,5.4629
"2022M08D08",744.0500,729.5300,884.0400,5.4066
"2022M08D09",744.0700,727.0600,880.3500,5.3817
"2022M08D10",743.9700,725.6800,879.3100,5.3848
"2022M08D11",743.9500,719.6300,879.6300,5.4474
"2022M08D12",743.9500,723.3300,878.1800,5.4117
"2022M08D15",743.7300,729.5000,881.4600,5.4843
"2022M08D16",743.6800,734.0600,883.0400,5.4638
"2022M08D17",743.7700,731.7700,883.2500,5.4147
"2022M08D18",743.8900,730.8800,881.4800,5.4231
"2022M08D19",743.7300,739.7400,875.6200,5.4023
"2022M08D22",743.7000,743.6300,878.4800,5.4253
"2022M08D23",743.7400,749.2100,881.8000,5.4550
"2022M08D24",743.8100,748.7500,882.5100,5.4797
"2022M08D25",743.7400,745.9800,882.3300,5.4659
"2022M08D26",743.7900,743.2700,879.2900,5.4283
"2022M08D29",743.7900,744.8300,870.7400,5.3707
"2022M08D30",743.7600,741.2400,868.4200,5.3620
"2022M08D31",743.7100,743.7100,864.4300,5.3612
"2022M09D01",743.7200,743.4200,860.0600,5.3374
"2022M09D02",743.7000,744.2200,859.9900,5.2985
"2022M09D05",743.6400,749.6400,861.1100,5.3319
"2022M09D06",743.6500,749.0400,867.3000,5.2775
"2022M09D07",743.6500,752.3000,859.6100,5.1931
"2022M09D08",743.6500,742.9800,858.1600,5.1768
"2022M09D09",743.6500,740.0200,856.1500,5.1895
"2022M09D12",743.6500,732.3000,856.9600,5.1467
"2022M09D13",743.6600,730.8700,856.8200,5.1464
"2022M09D14",743.6600,744.4000,859.7400,5.1975
"2022M09D15",743.6600,744.2600,855.4300,5.1848
"2022M09D16",743.6600,747.1000,850.8700,5.2176
"2022M09D19",743.7300,744.4700,847.2200,5.1857
"2022M09D20",743.6800,744.7200,850.9400,5.1882
"2022M09D21",743.6400,750.7000,851.4800,5.2127
"2022M09D22",743.6500,752.3800,852.2600,5.3431
"2022M09D23",743.6500,762.4100,843.1300,5.3335
"2022M09D26",743.6500,770.9400,831.7900,5.3473
"2022M09D27",743.6600,771.1100,833.0000,5.3393
"2022M09D28",743.6800,777.5000,823.8600,5.3738
"2022M09D29",743.6500,766.1800,831.0300,5.2944
"2022M09D30",743.6500,762.8700,842.1900,5.2737
"2022M10D03",743.6600,761.6300,854.0900,5.2559
"2022M10D04",743.7400,751.9400,852.2000,5.1901
"2022M10D05",743.8800,750.2600,851.7100,5.1954
"2022M10D06",743.9000,754.4600,849.3700,5.2138
"2022M10D07",743.8100,759.2200,851.2100,5.2411
"2022M10D10",743.8400,767.0800,847.8700,5.2695
"2022M10D11",743.9000,765.0900,848.2000,5.2558
"2022M10D12",743.9900,766.5300,846.9800,5.2269
"2022M10D13",743.8500,763.7800,859.8100,5.2039
"2022M10D14",743.7800,765.4400,856.6600,5.1784
"2022M10D17",743.7900,763.7200,862.3700,5.1296
"2022M10D18",743.9300,756.4100,855.8000,5.0728
"2022M10D19",743.9000,760.7900,855.1300,5.0834
"2022M10D20",743.8900,758.2200,852.5200,5.0608
"2022M10D21",743.8200,764.4600,847.8700,5.0398
"2022M10D24",743.8500,755.1000,854.3100,5.0685
"2022M10D25",743.8700,754.3600,853.6200,5.0659
"2022M10D26",743.8100,742.1000,858.8700,5.0489
"2022M10D27",743.8700,741.1300,857.5400,5.0476
"2022M10D28",744.2300,747.8900,864.1800,5.0700
"2022M10D31",744.4400,750.9000,864.4700,5.0505
"2022M11D01",744.3800,748.3500,864.9700,5.0863
"2022M11D02",744.3100,751.2200,864.4700,5.1068
"2022M11D03",744.3300,763.1800,853.3200,5.1482
"2022M11D04",744.1900,753.8400,850.7200,5.1256
"2022M11D07",743.9300,744.4500,853.7700,5.0891
"2022M11D08",743.7800,744.0800,851.2200,5.0857
"2022M11D09",743.8200,740.9300,847.4300,5.0662
"2022M11D10",743.8100,747.2500,852.0400,5.1132
"2022M11D11",743.8400,721.6100,849.7300,5.1695
"2022M11D14",743.8200,720.8300,849.9500,5.1348
"2022M11D15",743.8800,714.9900,850.5900,5.1359
"2022M11D16",743.8600,714.4300,850.2900,5.1198
"2022M11D17",743.8300,720.8400,850.3300,5.1369
"2022M11D18",743.8500,717.5900,854.3800,5.1258
"2022M11D21",743.7700,725.9100,856.9500,5.1178
"2022M11D22",743.7700,723.9300,861.2600,5.1224
"2022M11D23",743.7000,720.2900,861.0700,5.1026
"2022M11D24",743.6900,714.1900,865.4300,5.1681
"2022M11D25",743.6500,716.7700,865.8700,5.1421
"2022M11D28",743.6700,710.7600,858.6800,5.1323
"2022M11D29",743.6700,717.4100,862.5500,5.1874
"2022M11D30",743.6600,716.7100,859.8400,5.1543
"2022M12D01",743.7300,711.4300,867.6800,5.2199
"2022M12D02",743.7300,705.7600,866.2600,5.2627
"2022M12D05",743.6900,702.4600,863.9000,5.1981
"2022M12D06",743.8000,707.3000,863.1800,5.1894
"2022M12D07",743.8200,706.4500,860.8200,5.1497
"2022M12D08",743.8200,707.1200,862.3200,5.1744
"2022M12D09",743.7900,704.4100,865.3800,5.1904
"2022M12D12",743.7900,704.2100,864.8100,5.1345
"2022M12D13",743.9100,705.4600,867.5000,5.1357
"2022M12D14",743.9200,698.5800,863.8400,5.1776
"2022M12D15",743.8700,700.3800,863.0200,5.1277
"2022M12D16",743.7900,700.4300,852.6500,5.1109
"2022M12D19",743.8200,701.8500,853.8100,5.1422
"2022M12D20",743.8800,701.8400,849.8600,5.2915
"2022M12D21",743.8000,699.3200,848.5900,5.3019
"2022M12D22",743.6700,699.4000,842.7500,5.2960
"2022M12D23",743.6400,700.0900,844.7600,5.2793
"2022M12D27",743.6600,699.9800,841.8800,5.2489
"2022M12D28",743.6500,698.9200,844.5000,5.2292
"2022M12D29",743.6500,698.3300,839.8200,5.2281
"2022M12D30",743.6500,697.2200,838.4500,5.2869
"2023M01D02",743.7400,696.1900,839.1500,5.3269
"2023M01D03",743.7000,705.2600,844.6500,5.3919
"2023M01D04",743.7400,701.7100,844.4300,5.3607
"2023M01D05",743.7300,701.5700,842.2500,5.2766
"2023M01D06",743.7000,708.2900,840.5800,5.2633
"2023M01D09",743.7400,695.3400,844.7000,5.2617
"2023M01D10",743.7500,693.6000,842.0100,5.2406
"2023M01D11",743.7500,692.0500,838.7600,5.2153
"2023M01D12",743.8500,690.5400,838.7100,5.2902
"2023M01D13",743.8700,687.8800,837.6900,5.3508
"2023M01D16",743.9200,688.0500,838.1400,5.3550
"2023M01D17",743.8600,686.0300,839.6200,5.3323
"2023M01D18",743.9900,686.4000,849.9800,5.3222
"2023M01D19",743.9800,687.9100,848.8300,5.3516
"2023M01D20",743.9100,687.1500,849.2100,5.2812
"2023M01D23",743.9300,684.3300,845.6600,5.2519
"2023M01D24",743.9900,685.2000,841.9200,5.2590
"2023M01D25",743.8100,683.7700,842.8600,5.2689
"2023M01D26",743.8300,682.7300,845.7900,5.2612
"2023M01D27",743.7800,684.5700,846.3100,5.2713
"2023M01D30",743.8300,682.2300,845.4700,5.2460
"2023M01D31",743.8800,686.6800,844.6200,5.2657
"2023M02D01",743.9600,682.9100,841.4600,5.2625
