"DATE","TIME PERIOD","UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A)","Japanese yen/Euro (EXR.D.JPY.EUR.SP00.A)","US dollar/Euro (EXR.D.USD.EUR.SP00.A)"
"1999-01-04","04 Jan 1999","0.71110","133.73","1.1789"
"1999-01-05","05 Jan 1999","0.71220","130.96","1.1790"
"1999-01-06","06 Jan 1999","0.70760","131.42","1.1743"
"1999-01-07","07 Jan 1999","0.70585","129.43","1.1632"
"1999-01-08","08 Jan 1999","0.70940","130.09","1.1659"
"1999-01-11","11 Jan 1999","0.70440","126.33","1.1569"
"1999-01-12","12 Jan 1999","0.70660","129.63","1.1520"
"1999-01-13","13 Jan 1999","0.70840","131.89","1.1744"
"1999-01-14","14 Jan 1999","0.70620","132.74","1.1653"
"1999-01-15","15 Jan 1999","0.70390","131.74","1.1626"
"1999-01-18","18 Jan 1999","0.70130","132.90","1.1612"
"1999-01-19","19 Jan 1999","0.70000","132.14","1.1616"
"1999-01-20","20 Jan 1999","0.70140","131.59","1.1575"
"1999-01-21","21 Jan 1999","0.70230","130.34","1.1572"
"1999-01-22","22 Jan 1999","0.70050","131.88","1.1567"
"1999-01-25","25 Jan 1999","0.69890","132.09","1.1584"
"1999-01-26","26 Jan 1999","0.69760","131.81","1.1582"
"1999-01-27","27 Jan 1999","0.69680","131.91","1.1529"
"1999-01-28","28 Jan 1999","0.69280","132.25","1.1410"
"1999-01-29","29 Jan 1999","0.69100","132.10","1.1384"
"1999-02-01","01 Feb 1999","0.69040","130.88","1.1338"
"1999-02-02","02 Feb 1999","0.68880","127.70","1.1337"
"1999-02-03","03 Feb 1999","0.69250","126.86","1.1337"
"1999-02-04","04 Feb 1999","0.68940","127.65","1.1263"
"1999-02-05","05 Feb 1999","0.68850","127.95","1.1292"
"1999-02-08","08 Feb 1999","0.68880","127.82","1.1246"
"1999-02-09","09 Feb 1999","0.69110","129.91","1.1333"
"1999-02-10","10 Feb 1999","0.69540","130.73","1.1342"
"1999-02-11","11 Feb 1999","0.69750","129.35","1.1312"
"1999-02-12","12 Feb 1999","0.69170","128.92","1.1244"
"1999-02-15","15 Feb 1999","0.68950","129.31","1.1238"
"1999-02-16","16 Feb 1999","0.68540","131.82","1.1176"
"1999-02-17","17 Feb 1999","0.68730","133.48","1.1253"
"1999-02-18","18 Feb 1999","0.68710","134.40","1.1232"
"1999-02-19","19 Feb 1999","0.68380","133.97","1.1163"
"1999-02-22","22 Feb 1999","0.67890","133.61","1.0992"
"1999-02-23","23 Feb 1999","0.67960","133.14","1.0969"
"1999-02-24","24 Feb 1999","0.68830","133.86","1.1037"
"1999-02-25","25 Feb 1999","0.68880","132.87","1.1031"
"1999-02-26","26 Feb 1999","0.68730","131.33","1.1018"
"1999-03-01","01 Mar 1999","0.68290","131.13","1.0986"
"1999-03-02","02 Mar 1999","0.67640","131.37","1.0887"
"1999-03-03","03 Mar 1999","0.67230","132.18","1.0899"
"1999-03-04","04 Mar 1999","0.67590","133.92","1.0866"
"1999-03-05","05 Mar 1999","0.67370","133.19","1.0834"
"1999-03-08","08 Mar 1999","0.67760","132.77","1.0908"
"1999-03-09","09 Mar 1999","0.67540","132.45","1.0863"
"1999-03-10","10 Mar 1999","0.67460","131.74","1.0953"
"1999-03-11","11 Mar 1999","0.66940","131.00","1.0891"
"1999-03-12","12 Mar 1999","0.66860","130.80","1.0932"
"1999-03-15","15 Mar 1999","0.67390","128.85","1.0949"
"1999-03-16","16 Mar 1999","0.67030","128.65","1.0901"
"1999-03-17","17 Mar 1999","0.67440","130.18","1.0966"
"1999-03-18","18 Mar 1999","0.67600","129.78","1.1012"
"1999-03-19","19 Mar 1999","0.67080","127.99","1.0915"
"1999-03-22","22 Mar 1999","0.66770","128.00","1.0864"
"1999-03-23","23 Mar 1999","0.67060","128.94","1.0896"
"1999-03-24","24 Mar 1999","0.66530","128.60","1.0928"
"1999-03-25","25 Mar 1999","0.66680","128.65","1.0898"
"1999-03-26","26 Mar 1999","0.66500","128.93","1.0815"
"1999-03-29","29 Mar 1999","0.66150","128.78","1.0692"
"1999-03-30","30 Mar 1999","0.66380","128.86","1.0711"
"1999-03-31","31 Mar 1999","0.66630","127.81","1.0742"
"1999-04-01","01 Apr 1999","0.66900","128.72","1.0772"
"1999-04-02","02 Apr 1999","0.67200","129.85","1.0772"
"1999-04-05","05 Apr 1999","0.67020","130.55","1.0752"
"1999-04-06","06 Apr 1999","0.67590","129.99","1.0726"
"1999-04-07","07 Apr 1999","0.67720","131.27","1.0812"
"1999-04-08","08 Apr 1999","0.67310","130.45","1.0818"
"1999-04-09","09 Apr 1999","0.67240","130.75","1.0778"
"1999-04-12","12 Apr 1999","0.67230","130.27","1.0867"
"1999-04-13","13 Apr 1999","0.66710","129.66","1.0765"
"1999-04-14","14 Apr 1999","0.66670","128.55","1.0787"
"1999-04-15","15 Apr 1999","0.66820","128.01","1.0786"
"1999-04-16","16 Apr 1999","0.66330","126.16","1.0668"
"1999-04-19","19 Apr 1999","0.65860","125.67","1.0636"
"1999-04-20","20 Apr 1999","0.65890","125.48","1.0646"
"1999-04-21","21 Apr 1999","0.65930","126.26","1.0586"
"1999-04-22","22 Apr 1999","0.65850","126.95","1.0581"
"1999-04-23","23 Apr 1999","0.65830","127.25","1.0634"
"1999-04-26","26 Apr 1999","0.65690","126.22","1.0614"
"1999-04-27","27 Apr 1999","0.65870","127.34","1.0630"
"1999-04-28","28 Apr 1999","0.65830","127.05","1.0666"
"1999-04-29","29 Apr 1999","0.65840","126.16","1.0604"
"1999-04-30","30 Apr 1999","0.65710","126.90","1.0597"
"1999-05-03","03 May 1999","0.65710","126.93","1.0589"
"1999-05-04","04 May 1999","0.65530","128.04","1.0564"
"1999-05-05","05 May 1999","0.65520","128.78","1.0667"
"1999-05-06","06 May 1999","0.66010","130.60","1.0799"
"1999-05-07","07 May 1999","0.66100","130.13","1.0786"
"1999-05-10","10 May 1999","0.66040","129.82","1.0735"
"1999-05-11","11 May 1999","0.66190","129.97","1.0732"
"1999-05-12","12 May 1999","0.65770","128.88","1.0645"
"1999-05-13","13 May 1999","0.65600","129.20","1.0622"
"1999-05-14","14 May 1999","0.66010","130.78","1.0676"
"1999-05-17","17 May 1999","0.65980","131.47","1.0685"
"1999-05-18","18 May 1999","0.65920","131.62","1.0690"
"1999-05-19","19 May 1999","0.65690","132.40","1.0634"
"1999-05-20","20 May 1999","0.65910","132.16","1.0639"
"1999-05-21","21 May 1999","0.65830","131.25","1.0572"
"1999-05-24","24 May 1999","0.66170","130.86","1.0585"
"1999-05-25","25 May 1999","0.66340","130.41","1.0627"
"1999-05-26","26 May 1999","0.65800","128.77","1.0535"
"1999-05-27","27 May 1999","0.65510","128.05","1.0473"
"1999-05-28","28 May 1999","0.65460","126.70","1.0479"
"1999-05-31","31 May 1999","0.65240","127.18","1.0456"
"1999-06-01","01 Jun 1999","0.65050","126.35","1.0434"
"1999-06-02","02 Jun 1999","0.64430","125.71","1.0382"
"1999-06-03","03 Jun 1999","0.64580","125.80","1.0382"
"1999-06-04","04 Jun 1999","0.64120","125.45","1.0315"
"1999-06-07","07 Jun 1999","0.64140","124.70","1.0316"
"1999-06-08","08 Jun 1999","0.64890","125.99","1.0385"
"1999-06-09","09 Jun 1999","0.65230","124.48","1.0466"
"1999-06-10","10 Jun 1999","0.65380","124.50","1.0474"
"1999-06-11","11 Jun 1999","0.65060","124.09","1.0474"
"1999-06-14","14 Jun 1999","0.64730","125.42","1.0437"
"1999-06-15","15 Jun 1999","0.65010","125.27","1.0392"
"1999-06-16","16 Jun 1999","0.65100","124.40","1.0345"
"1999-06-17","17 Jun 1999","0.64810","123.97","1.0340"
"1999-06-18","18 Jun 1999","0.65060","124.52","1.0388"
"1999-06-21","21 Jun 1999","0.65060","126.30","1.0339"
"1999-06-22","22 Jun 1999","0.64980","125.60","1.0313"
"1999-06-23","23 Jun 1999","0.65110","125.55","1.0280"
"1999-06-24","24 Jun 1999","0.65330","126.05","1.0321"
"1999-06-25","25 Jun 1999","0.65780","126.80","1.0443"
"1999-06-28","28 Jun 1999","0.65640","125.96","1.0388"
"1999-06-29","29 Jun 1999","0.65440","125.30","1.0364"
"1999-06-30","30 Jun 1999","0.65630","124.82","1.0328"
"1999-07-01","01 Jul 1999","0.65020","124.12","1.0264"
"1999-07-02","02 Jul 1999","0.64980","123.93","1.0241"
"1999-07-05","05 Jul 1999","0.64910","125.18","1.0232"
"1999-07-06","06 Jul 1999","0.65140","124.87","1.0221"
"1999-07-07","07 Jul 1999","0.65630","124.77","1.0222"
"1999-07-08","08 Jul 1999","0.65440","124.72","1.0182"
"1999-07-09","09 Jul 1999","0.65770","124.66","1.0204"
"1999-07-12","12 Jul 1999","0.65270","123.82","1.0124"
"1999-07-13","13 Jul 1999","0.65380","123.83","1.0183"
"1999-07-14","14 Jul 1999","0.65230","122.97","1.0168"
"1999-07-15","15 Jul 1999","0.65130","123.04","1.0201"
"1999-07-16","16 Jul 1999","0.65090","123.15","1.0202"
"1999-07-19","19 Jul 1999","0.65110","121.60","1.0146"
"1999-07-20","20 Jul 1999","0.66180","123.09","1.0410"
"1999-07-21","21 Jul 1999","0.66530","124.20","1.0462"
"1999-07-22","22 Jul 1999","0.66420","124.06","1.0499"
"1999-07-23","23 Jul 1999","0.66340","121.96","1.0496"
"1999-07-26","26 Jul 1999","0.67310","123.80","1.0698"
"1999-07-27","27 Jul 1999","0.66800","124.27","1.0627"
"1999-07-28","28 Jul 1999","0.66830","123.15","1.0603"
"1999-07-29","29 Jul 1999","0.66650","123.18","1.0680"
"1999-07-30","30 Jul 1999","0.65980","123.19","1.0694"
"1999-08-02","02 Aug 1999","0.65910","121.88","1.0665"
"1999-08-03","03 Aug 1999","0.65880","122.69","1.0645"
"1999-08-04","04 Aug 1999","0.66270","123.39","1.0761"
"1999-08-05","05 Aug 1999","0.66700","123.37","1.0791"
"1999-08-06","06 Aug 1999","0.66500","123.13","1.0740"
"1999-08-09","09 Aug 1999","0.66650","123.37","1.0705"
"1999-08-10","10 Aug 1999","0.66550","123.25","1.0737"
"1999-08-11","11 Aug 1999","0.66230","122.92","1.0668"
"1999-08-12","12 Aug 1999","0.66140","123.25","1.0638"
"1999-08-13","13 Aug 1999","0.66190","122.41","1.0667"
"1999-08-16","16 Aug 1999","0.65850","121.28","1.0553"
"1999-08-17","17 Aug 1999","0.65840","120.34","1.0527"
"1999-08-18","18 Aug 1999","0.65560","118.90","1.0517"
"1999-08-19","19 Aug 1999","0.65560","117.02","1.0517"
"1999-08-20","20 Aug 1999","0.65900","119.16","1.0667"
"1999-08-23","23 Aug 1999","0.65800","118.03","1.0606"
"1999-08-24","24 Aug 1999","0.65760","117.42","1.0512"
"1999-08-25","25 Aug 1999","0.65720","115.70","1.0433"
"1999-08-26","26 Aug 1999","0.65740","116.38","1.0452"
"1999-08-27","27 Aug 1999","0.65880","116.68","1.0450"
"1999-08-30","30 Aug 1999","0.65820","116.10","1.0454"
"1999-08-31","31 Aug 1999","0.65850","115.53","1.0573"
"1999-09-01","01 Sep 1999","0.65930","116.00","1.0613"
"1999-09-02","02 Sep 1999","0.66310","116.16","1.0662"
"1999-09-03","03 Sep 1999","0.66340","117.32","1.0682"
"1999-09-06","06 Sep 1999","0.66070","116.30","1.0594"
"1999-09-07","07 Sep 1999","0.65760","117.44","1.0565"
"1999-09-08","08 Sep 1999","0.65360","117.49","1.0613"
"1999-09-09","09 Sep 1999","0.65130","115.36","1.0592"
"1999-09-10","10 Sep 1999","0.64630","115.00","1.0520"
"1999-09-13","13 Sep 1999","0.64070","109.85","1.0342"
"1999-09-14","14 Sep 1999","0.64680","110.25","1.0362"
"1999-09-15","15 Sep 1999","0.64620","107.94","1.0369"
"1999-09-16","16 Sep 1999","0.64160","108.08","1.0372"
"1999-09-17","17 Sep 1999","0.64230","110.66","1.0397"
"1999-09-20","20 Sep 1999","0.64100","112.08","1.0406"
"1999-09-21","21 Sep 1999","0.63830","108.72","1.0388"
"1999-09-22","22 Sep 1999","0.64230","109.48","1.0509"
"1999-09-23","23 Sep 1999","0.63900","108.45","1.0430"
"1999-09-24","24 Sep 1999","0.63740","109.40","1.0476"
"1999-09-27","27 Sep 1999","0.63270","109.67","1.0414"
"1999-09-28","28 Sep 1999","0.63620","111.31","1.0483"
"1999-09-29","29 Sep 1999","0.64300","112.85","1.0563"
"1999-09-30","30 Sep 1999","0.64750","112.67","1.0665"
"1999-10-01","01 Oct 1999","0.64990","113.25","1.0728"
"1999-10-04","04 Oct 1999","0.64690","113.60","1.0719"
"1999-10-05","05 Oct 1999","0.64560","113.98","1.0686"
"1999-10-06","06 Oct 1999","0.64880","115.58","1.0737"
"1999-10-07","07 Oct 1999","0.64900","115.48","1.0729"
"1999-10-08","08 Oct 1999","0.64510","114.55","1.0657"
"1999-10-11","11 Oct 1999","0.64240","113.42","1.0631"
"1999-10-12","12 Oct 1999","0.64590","113.45","1.0668"
"1999-10-13","13 Oct 1999","0.65180","116.24","1.0778"
"1999-10-14","14 Oct 1999","0.64990","114.95","1.0758"
"1999-10-15","15 Oct 1999","0.65190","115.15","1.0869"
"1999-10-18","18 Oct 1999","0.65090","114.23","1.0868"
"1999-10-19","19 Oct 1999","0.64740","114.30","1.0818"
"1999-10-20","20 Oct 1999","0.64600","114.44","1.0777"
"1999-10-21","21 Oct 1999","0.64460","114.52","1.0797"
"1999-10-22","22 Oct 1999","0.64260","113.65","1.0758"
"1999-10-25","25 Oct 1999","0.64330","112.66","1.0683"
"1999-10-26","26 Oct 1999","0.64130","111.33","1.0633"
"1999-10-27","27 Oct 1999","0.63920","109.75","1.0552"
"1999-10-28","28 Oct 1999","0.64150","109.79","1.0534"
"1999-10-29","29 Oct 1999","0.63930","109.59","1.0453"
"1999-11-01","01 Nov 1999","0.64130","110.23","1.0572"
"1999-11-02","02 Nov 1999","0.63820","110.12","1.0507"
"1999-11-03","03 Nov 1999","0.63610","109.17","1.0491"
"1999-11-04","04 Nov 1999","0.63890","110.00","1.0504"
"1999-11-05","05 Nov 1999","0.63970","109.79","1.0408"
"1999-11-08","08 Nov 1999","0.64120","110.36","1.0405"
"1999-11-09","09 Nov 1999","0.64150","109.37","1.0424"
"1999-11-10","10 Nov 1999","0.64160","109.33","1.0402"
"1999-11-11","11 Nov 1999","0.64140","109.30","1.0406"
"1999-11-12","12 Nov 1999","0.63800","108.22","1.0308"
"1999-11-15","15 Nov 1999","0.63710","107.99","1.0301"
"1999-11-16","16 Nov 1999","0.63690","109.42","1.0336"
"1999-11-17","17 Nov 1999","0.64000","109.58","1.0408"
"1999-11-18","18 Nov 1999","0.63970","109.63","1.0380"
"1999-11-19","19 Nov 1999","0.63530","109.10","1.0279"
"1999-11-22","22 Nov 1999","0.63610","108.35","1.0311"
"1999-11-23","23 Nov 1999","0.63480","107.98","1.0315"
"1999-11-24","24 Nov 1999","0.63310","106.62","1.0215"
"1999-11-25","25 Nov 1999","0.63120","106.25","1.0194"
"1999-11-26","26 Nov 1999","0.63010","104.86","1.0101"
"1999-11-29","29 Nov 1999","0.62970","102.82","1.0077"
"1999-11-30","30 Nov 1999","0.63250","103.00","1.0097"
"1999-12-01","01 Dec 1999","0.63040","103.35","1.0091"
"1999-12-02","02 Dec 1999","0.62920","103.03","1.0057"
"1999-12-03","03 Dec 1999","0.62550","102.57","1.0015"
"1999-12-06","06 Dec 1999","0.63100","104.62","1.0182"
"1999-12-07","07 Dec 1999","0.63020","105.05","1.0239"
"1999-12-08","08 Dec 1999","0.62940","105.32","1.0236"
"1999-12-09","09 Dec 1999","0.62610","104.40","1.0175"
"1999-12-10","10 Dec 1999","0.62470","103.81","1.0141"
"1999-12-13","13 Dec 1999","0.62380","103.95","1.0128"
"1999-12-14","14 Dec 1999","0.62150","104.06","1.0038"
"1999-12-15","15 Dec 1999","0.62410","103.70","1.0021"
"1999-12-16","16 Dec 1999","0.62860","104.47","1.0146"
"1999-12-17","17 Dec 1999","0.62870","104.68","1.0128"
"1999-12-20","20 Dec 1999","0.62800","103.84","1.0096"
"1999-12-21","21 Dec 1999","0.62760","103.07","1.0084"
"1999-12-22","22 Dec 1999","0.62530","102.48","1.0074"
"1999-12-23","23 Dec 1999","0.62650","102.52","1.0089"
"1999-12-24","24 Dec 1999","0.62670","104.29","1.0142"
"1999-12-27","27 Dec 1999","0.62670","103.75","1.0134"
"1999-12-28","28 Dec 1999","0.62490","103.13","1.0089"
"1999-12-29","29 Dec 1999","0.62260","103.02","1.0072"
"1999-12-30","30 Dec 1999","0.62170","102.73","1.0046"
"1999-12-31","31 Dec 1999"
"2000-01-03","03 Jan 2000","0.62460","102.75","1.0090"
"2000-01-04","04 Jan 2000","0.62960","105.88","1.0305"
"2000-01-05","05 Jan 2000","0.63240","107.34","1.0368"
"2000-01-06","06 Jan 2000","0.63020","108.72","1.0388"
"2000-01-07","07 Jan 2000","0.62620","108.09","1.0284"
"2000-01-10","10 Jan 2000","0.62490","107.26","1.0229"
"2000-01-11","11 Jan 2000","0.62510","108.85","1.0256"
"2000-01-12","12 Jan 2000","0.62530","109.10","1.0308"
"2000-01-13","13 Jan 2000","0.62550","108.89","1.0276"
"2000-01-14","14 Jan 2000","0.62210","108.05","1.0225"
"2000-01-17","17 Jan 2000","0.61800","105.81","1.0094"
"2000-01-18","18 Jan 2000","0.61740","106.42","1.0093"
"2000-01-19","19 Jan 2000","0.61720","106.99","1.0105"
"2000-01-20","20 Jan 2000","0.61270","106.44","1.0089"
"2000-01-21","21 Jan 2000","0.61130","105.53","1.0097"
"2000-01-24","24 Jan 2000","0.60620","105.54","1.0027"
"2000-01-25","25 Jan 2000","0.60830","105.69","1.0008"
"2000-01-26","26 Jan 2000","0.60940","106.04","1.0019"
"2000-01-27","27 Jan 2000","0.60890","105.43","0.9976"
"2000-01-28","28 Jan 2000","0.60510","103.74","0.9848"
"2000-01-31","31 Jan 2000","0.60470","104.62","0.9791"
"2000-02-01","01 Feb 2000","0.60200","104.62","0.9710"
"2000-02-02","02 Feb 2000","0.60510","105.51","0.9717"
"2000-02-03","03 Feb 2000","0.60860","105.78","0.9748"
"2000-02-04","04 Feb 2000","0.61950","105.99","0.9835"
"2000-02-07","07 Feb 2000","0.61340","106.02","0.9767"
"2000-02-08","08 Feb 2000","0.61820","107.91","0.9903"
"2000-02-09","09 Feb 2000","0.61690","108.16","0.9934"
"2000-02-10","10 Feb 2000","0.61260","107.11","0.9868"
"2000-02-11","11 Feb 2000","0.61360","107.42","0.9801"
"2000-02-14","14 Feb 2000","0.62010","106.85","0.9867"
"2000-02-15","15 Feb 2000","0.61590","106.46","0.9778"
"2000-02-16","16 Feb 2000","0.61290","106.97","0.9804"
"2000-02-17","17 Feb 2000","0.61580","109.30","0.9919"
"2000-02-18","18 Feb 2000","0.61440","109.27","0.9857"
"2000-02-21","21 Feb 2000","0.61610","109.73","0.9857"
"2000-02-22","22 Feb 2000","0.62260","111.11","1.0022"
"2000-02-23","23 Feb 2000","0.62520","111.88","1.0068"
"2000-02-24","24 Feb 2000","0.61880","109.55","0.9898"
"2000-02-25","25 Feb 2000","0.61550","108.79","0.9813"
"2000-02-28","28 Feb 2000","0.60720","105.22","0.9639"
"2000-02-29","29 Feb 2000","0.61340","106.81","0.9714"
"2000-03-01","01 Mar 2000","0.61230","104.65","0.9667"
"2000-03-02","02 Mar 2000","0.61400","104.38","0.9725"
"2000-03-03","03 Mar 2000","0.61170","104.17","0.9659"
"2000-03-06","06 Mar 2000","0.61110","103.47","0.9640"
"2000-03-07","07 Mar 2000","0.60960","103.00","0.9593"
"2000-03-08","08 Mar 2000","0.60430","102.24","0.9543"
"2000-03-09","09 Mar 2000","0.60860","102.44","0.9616"
"2000-03-10","10 Mar 2000","0.60950","102.27","0.9613"
"2000-03-13","13 Mar 2000","0.61460","102.23","0.9716"
"2000-03-14","14 Mar 2000","0.61230","100.93","0.9620"
"2000-03-15","15 Mar 2000","0.61400","101.74","0.9647"
"2000-03-16","16 Mar 2000","0.61550","101.73","0.9663"
"2000-03-17","17 Mar 2000","0.61460","102.31","0.9672"
"2000-03-20","20 Mar 2000","0.62010","103.71","0.9715"
"2000-03-21","21 Mar 2000","0.61760","103.46","0.9701"
"2000-03-22","22 Mar 2000","0.61250","102.88","0.9603"
"2000-03-23","23 Mar 2000","0.61040","103.88","0.9656"
"2000-03-24","24 Mar 2000","0.61150","104.09","0.9715"
"2000-03-27","27 Mar 2000","0.60870","103.77","0.9712"
"2000-03-28","28 Mar 2000","0.60880","102.59","0.9647"
"2000-03-29","29 Mar 2000","0.60320","100.77","0.9568"
"2000-03-30","30 Mar 2000","0.60100","100.35","0.9555"
"2000-03-31","31 Mar 2000","0.59850","98.53","0.9553"
"2000-04-03","03 Apr 2000","0.60000","100.27","0.9564"
"2000-04-04","04 Apr 2000","0.59710","100.74","0.9538"
"2000-04-05","05 Apr 2000","0.60880","101.71","0.9673"
"2000-04-06","06 Apr 2000","0.60750","101.04","0.9625"
"2000-04-07","07 Apr 2000","0.60470","100.71","0.9564"
"2000-04-10","10 Apr 2000","0.60640","101.92","0.9590"
"2000-04-11","11 Apr 2000","0.60550","102.61","0.9594"
"2000-04-12","12 Apr 2000","0.60380","101.11","0.9576"
"2000-04-13","13 Apr 2000","0.59990","101.09","0.9537"
"2000-04-14","14 Apr 2000","0.60160","100.86","0.9540"
"2000-04-17","17 Apr 2000","0.60260","99.40","0.9573"
"2000-04-18","18 Apr 2000","0.60030","98.97","0.9497"
"2000-04-19","19 Apr 2000","0.59830","98.79","0.9461"
"2000-04-20","20 Apr 2000","0.59340","98.37","0.9376"
"2000-04-21","21 Apr 2000"
"2000-04-24","24 Apr 2000"
"2000-04-25","25 Apr 2000","0.58960","98.15","0.9302"
"2000-04-26","26 Apr 2000","0.58270","97.85","0.9193"
"2000-04-27","27 Apr 2000","0.58270","97.57","0.9163"
"2000-04-28","28 Apr 2000","0.57940","97.48","0.9085"
"2000-05-01","01 May 2000"
"2000-05-02","02 May 2000","0.58270","99.15","0.9116"
"2000-05-03","03 May 2000","0.57110","97.46","0.8913"
"2000-05-04","04 May 2000","0.58180","97.35","0.8947"
"2000-05-05","05 May 2000","0.58380","97.21","0.8984"
"2000-05-08","08 May 2000","0.58510","97.17","0.8952"
"2000-05-09","09 May 2000","0.58470","98.25","0.8978"
"2000-05-10","10 May 2000","0.59760","99.13","0.9107"
"2000-05-11","11 May 2000","0.60510","98.53","0.9079"
"2000-05-12","12 May 2000","0.59600","98.01","0.9029"
"2000-05-15","15 May 2000","0.60450","100.07","0.9147"
"2000-05-16","16 May 2000","0.60450","98.89","0.9065"
"2000-05-17","17 May 2000","0.59870","97.98","0.8922"
"2000-05-18","18 May 2000","0.60390","97.60","0.8942"
"2000-05-19","19 May 2000","0.59880","95.69","0.8875"
"2000-05-22","22 May 2000","0.60500","96.57","0.9000"
"2000-05-23","23 May 2000","0.61510","97.30","0.9111"
"2000-05-24","24 May 2000","0.61650","97.58","0.9098"
"2000-05-25","25 May 2000","0.61000","96.81","0.8981"
"2000-05-26","26 May 2000","0.62090","98.22","0.9143"
"2000-05-29","29 May 2000","0.62230","99.32","0.9262"
"2000-05-30","30 May 2000","0.62260","99.80","0.9359"
"2000-05-31","31 May 2000","0.62250","99.90","0.9303"
"2000-06-01","01 Jun 2000","0.62400","101.41","0.9330"
"2000-06-02","02 Jun 2000","0.62510","101.62","0.9355"
"2000-06-05","05 Jun 2000","0.62300","101.51","0.9433"
"2000-06-06","06 Jun 2000","0.62640","101.24","0.9485"
"2000-06-07","07 Jun 2000","0.62760","101.00","0.9554"
"2000-06-08","08 Jun 2000","0.63590","102.12","0.9668"
"2000-06-09","09 Jun 2000","0.63100","101.42","0.9490"
"2000-06-12","12 Jun 2000","0.63030","101.55","0.9527"
"2000-06-13","13 Jun 2000","0.63300","102.05","0.9583"
"2000-06-14","14 Jun 2000","0.64020","102.52","0.9636"
"2000-06-15","15 Jun 2000","0.63160","100.92","0.9524"
"2000-06-16","16 Jun 2000","0.63290","101.65","0.9565"
"2000-06-19","19 Jun 2000","0.63730","101.86","0.9640"
"2000-06-20","20 Jun 2000","0.63260","100.62","0.9538"
"2000-06-21","21 Jun 2000","0.63070","99.76","0.9470"
"2000-06-22","22 Jun 2000","0.62440","99.10","0.9405"
"2000-06-23","23 Jun 2000","0.62500","98.12","0.9413"
"2000-06-26","26 Jun 2000","0.62150","98.38","0.9327"
"2000-06-27","27 Jun 2000","0.62810","99.16","0.9401"
"2000-06-28","28 Jun 2000","0.62530","99.56","0.9415"
"2000-06-29","29 Jun 2000","0.62570","99.56","0.9504"
"2000-06-30","30 Jun 2000","0.63230","100.57","0.9556"
"2000-07-03","03 Jul 2000","0.62810","100.58","0.9493"
"2000-07-04","04 Jul 2000","0.62710","100.78","0.9487"
"2000-07-05","05 Jul 2000","0.63130","101.73","0.9537"
"2000-07-06","06 Jul 2000","0.63100","102.44","0.9542"
"2000-07-07","07 Jul 2000","0.62780","101.86","0.9483"
"2000-07-10","10 Jul 2000","0.62800","101.82","0.9523"
"2000-07-11","11 Jul 2000","0.63000","101.77","0.9527"
"2000-07-12","12 Jul 2000","0.62700","102.29","0.9499"
"2000-07-13","13 Jul 2000","0.62240","100.12","0.9349"
"2000-07-14","14 Jul 2000","0.62270","100.82","0.9344"
"2000-07-17","17 Jul 2000","0.62700","101.65","0.9352"
"2000-07-18","18 Jul 2000","0.62410","100.93","0.9353"
"2000-07-19","19 Jul 2000","0.61560","99.60","0.9216"
"2000-07-20","20 Jul 2000","0.61650","99.74","0.9220"
"2000-07-21","21 Jul 2000","0.61850","101.53","0.9363"
"2000-07-24","24 Jul 2000","0.61510","101.64","0.9332"
"2000-07-25","25 Jul 2000","0.62010","102.78","0.9410"
"2000-07-26","26 Jul 2000","0.61890","102.43","0.9390"
"2000-07-27","27 Jul 2000","0.61980","102.26","0.9389"
"2000-07-28","28 Jul 2000","0.61500","101.29","0.9276"
"2000-07-31","31 Jul 2000","0.61790","101.04","0.9243"
"2000-08-01","01 Aug 2000","0.61720","101.56","0.9264"
"2000-08-02","02 Aug 2000","0.61430","99.80","0.9142"
"2000-08-03","03 Aug 2000","0.60700","97.85","0.9028"
"2000-08-04","04 Aug 2000","0.60080","98.02","0.9031"
"2000-08-07","07 Aug 2000","0.60320","98.85","0.9084"
"2000-08-08","08 Aug 2000","0.59960","98.20","0.9047"
"2000-08-09","09 Aug 2000","0.59780","96.81","0.8973"
"2000-08-10","10 Aug 2000","0.60180","97.93","0.9031"
"2000-08-11","11 Aug 2000","0.60610","99.31","0.9132"
"2000-08-14","14 Aug 2000","0.59840","98.58","0.9011"
"2000-08-15","15 Aug 2000","0.60590","99.78","0.9118"
"2000-08-16","16 Aug 2000","0.60520","98.45","0.9072"
"2000-08-17","17 Aug 2000","0.60960","99.12","0.9140"
"2000-08-18","18 Aug 2000","0.60990","99.42","0.9127"
"2000-08-21","21 Aug 2000","0.60510","97.63","0.9023"
"2000-08-22","22 Aug 2000","0.60380","97.27","0.8972"
"2000-08-23","23 Aug 2000","0.60270","95.70","0.8918"
"2000-08-24","24 Aug 2000","0.60870","96.64","0.9012"
"2000-08-25","25 Aug 2000","0.61220","96.61","0.9021"
"2000-08-28","28 Aug 2000","0.61200","95.88","0.9007"
"2000-08-29","29 Aug 2000","0.61390","95.44","0.8965"
"2000-08-30","30 Aug 2000","0.61480","94.80","0.8909"
"2000-08-31","31 Aug 2000","0.61320","94.77","0.8906"
"2000-09-01","01 Sep 2000","0.61350","94.77","0.8902"
"2000-09-04","04 Sep 2000","0.61540","95.12","0.9000"
"2000-09-05","05 Sep 2000","0.61240","94.18","0.8886"
"2000-09-06","06 Sep 2000","0.60870","93.27","0.8818"
